Source,Sample No.,Sample type,Experiment type,Experiment kinematics,Confining pressure (MPa),Comment on published mechanical data,Comment on extra unpublished data ,Use strain-rate minimum or peak stress data?,Use tertiary creep or flow stress data?,Sample initial geometry,Sample initial diameter for compression (mm),Sample initial length for compression (mm),Sample length for shear (mm),sample width for shear (mm),sample height for shear (mm),T,T upper bound,T lower bound,Comment on T error,Grain size unit: diameter (D) or area (A),Initial median grain size D: (µm); A (µm^2),Initial grain size lower bound D: (µm); A (µm^2),Initial grain size upper bound D: (µm); A (µm^2),Method for grain size measurement,Grain size error comment,Technique used to collect microstructural data,Resolution,Strain at minimum rate/ peak stress as published,"Published strain type: Octahedral shear (O), Axial (A), Shear (S)?",True (T) or engineering (E) strain?,Stress (MPa) at minimum rate/ peak stress as published,"Published stress type: Octahedral shear (O), Axial (A), Shear (S)?",Strain and stress Error Comments,"Published strain rate type: Octahedral shear (O), Axial (A), Shear (S)?","If Axial, True (T) or engineering (E) strain rate?",Strain rate (/s) at minimum rate/ peak stress as published,Strain rate lower bound,Strain rate upper bound,Comment on rate error,Microstructural data at minimum rate/ peak stress,Grain size scale: diameter (D)? Area (A),Mean grain size  D: (µm); A (µm2) at minimum rate/ peak stress,Median grain size  D: (µm); A (µm2) at minimum rate/ peak stress,Grain size lower bound D: (µm); A (µm2) at minimum rate/ peak stress,Grain size lower bound D: (µm); A (µm2) at minimum rate/ peak stress,Comment on measurement error of grain size,Bulk reduced Schmid factor at minimum rate/ peak stress,Comment on bulk reduced Schmid factor ,Comment on sample geometry,Strain at tertiary strain rate/ flow stress as published,"Published strain type: Octahedral shear (O), Axial (A), Shear (S)?","If Axial, True (T) or engineering (E) strain?","Published stress type: Octahedral shear (O), Axial (A), Shear (S)?",Stress (MPa) at tertiary strain rate/ flow stress as published,Stress lower bound,Stress upper bound,Comment on strain and stress error,"Published strain rate type: Octahedral shear (O), Axial (A), Shear (S)?",True (T) or engineering (E) strain rate?,Strain rate (/s) at tertiary strain rate/ flow stress as published,Strain rate lower bound,Strain rate upper bound,Comment on strain rate error,Microstructural data at tertiary strain rate/ flow stress,Grain size scale: diameter (D)? Area (A),Mean grain size  D: (µm); A (µm2) at tertiary strain rate/ flow stress,Median grain size  D: (µm); A (µm2) at tertiary strain rate/ flow stress,Grain size lower bound D: (µm); A (µm2) at tertiary strain rate/ flow stress,Grain size lower bound D: (µm); A (µm2) at tertiary strain rate/ flow stress,Grain size error comment,Bulk reduced Schmid factor at tertiary strain rate/ flow stress,Bulk reduced Schmid factor comment
,Gamma',H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,0,0.03,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.16,A,,A,E,5.90E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Gamma'',H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,0,0.03,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.24,A,,A,E,7.36E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Delta,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,0,0.03,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.07,A,,A,E,2.06E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Epsilon,H2O,,,0,,N/A,NO,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.09,A,,A,E,9.20E-09,N/A,N/A,Had not reached steady state. Data not used (Table 2).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Theta,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.15,A,,A,E,2.16E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Eta,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.23,A,,A,E,4.06E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,k,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.33,A,,A,E,1.33E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,j,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.36,A,,A,E,2.17E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,h,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.61,A,,A,E,1.55E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,i,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.62,A,,A,E,1.51E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,a,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.85,A,,A,E,3.87E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,b,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.87,A,,A,E,3.55E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,d,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.87,A,,A,E,9.32E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,f,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.87,A,,A,E,6.12E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,g,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.9,A,,A,E,8.31E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
