Source,Sample No.,Sample type,Experiment type,Experiment kinematics,Confining pressure (MPa),Comment on published mechanical data,Comment on extra unpublished data ,Use strain-rate minimum or peak stress data?,Use tertiary creep or flow stress data?,Sample initial geometry,Sample initial diameter for compression (mm),Sample initial length for compression (mm),Sample length for shear (mm),sample width for shear (mm),sample height for shear (mm),T,T upper bound,T lower bound,Comment on T error,Grain size unit: diameter (D) or area (A),Initial median grain size D: (µm); A (µm^2),Initial grain size lower bound D: (µm); A (µm^2),Initial grain size upper bound D: (µm); A (µm^2),Method for grain size measurement,Grain size error comment,Technique used to collect microstructural data,Resolution,Strain at minimum rate/ peak stress as published,"Published strain type: Octahedral shear (O), Axial (A), Shear (S)?",True (T) or engineering (E) strain?,Stress (MPa) at minimum rate/ peak stress as published,"Published stress type: Octahedral shear (O), Axial (A), Shear (S)?",Strain and stress Error Comments,"Published strain rate type: Octahedral shear (O), Axial (A), Shear (S)?","If Axial, True (T) or engineering (E) strain rate?",Strain rate (/s) at minimum rate/ peak stress as published,Strain rate lower bound,Strain rate upper bound,Comment on rate error,Microstructural data at minimum rate/ peak stress,Grain size scale: diameter (D)? Area (A),Mean grain size  D: (µm); A (µm2) at minimum rate/ peak stress,Median grain size  D: (µm); A (µm2) at minimum rate/ peak stress,Grain size lower bound D: (µm); A (µm2) at minimum rate/ peak stress,Grain size lower bound D: (µm); A (µm2) at minimum rate/ peak stress,Comment on measurement error of grain size,Bulk reduced Schmid factor at minimum rate/ peak stress,Comment on bulk reduced Schmid factor ,Comment on sample geometry,Strain at tertiary strain rate/ flow stress as published,"Published strain type: Octahedral shear (O), Axial (A), Shear (S)?","If Axial, True (T) or engineering (E) strain?","Published stress type: Octahedral shear (O), Axial (A), Shear (S)?",Stress (MPa) at tertiary strain rate/ flow stress as published,Stress lower bound,Stress upper bound,Comment on strain and stress error,"Published strain rate type: Octahedral shear (O), Axial (A), Shear (S)?",True (T) or engineering (E) strain rate?,Strain rate (/s) at tertiary strain rate/ flow stress as published,Strain rate lower bound,Strain rate upper bound,Comment on strain rate error,Microstructural data at tertiary strain rate/ flow stress,Grain size scale: diameter (D)? Area (A),Mean grain size  D: (µm); A (µm2) at tertiary strain rate/ flow stress,Median grain size  D: (µm); A (µm2) at tertiary strain rate/ flow stress,Grain size lower bound D: (µm); A (µm2) at tertiary strain rate/ flow stress,Grain size lower bound D: (µm); A (µm2) at tertiary strain rate/ flow stress,Grain size error comment,Bulk reduced Schmid factor at tertiary strain rate/ flow stress,Bulk reduced Schmid factor comment
,N/A,H2O,,,0,,N/A,NO,YES,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.5,-0.8,-2.5,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,A,0.24,N/A,N/A,,A,E?,7.75E-09,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,H2O,,,0,,N/A,NO,YES,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.5,-0.8,-2.5,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,A,0.23,N/A,N/A,,A,E?,6.74E-09,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,H2O,,,0,,N/A,NO,YES,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.5,-0.8,-2.5,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,A,0.22,N/A,N/A,,A,E?,4.80E-09,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,H2O,,,0,,N/A,NO,YES,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.5,-0.8,-2.5,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,A,0.16,N/A,N/A,,A,E?,4.61E-09,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,H2O,,,0,,N/A,NO,YES,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.5,-0.8,-2.5,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,A,0.19,N/A,N/A,,A,E?,4.48E-09,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,H2O,,,0,,N/A,NO,YES,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.5,-0.8,-2.5,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,A,0.18,N/A,N/A,,A,E?,2.93E-09,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,H2O,,,0,,N/A,NO,YES,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.5,-0.8,-2.5,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,A,0.15,N/A,N/A,,A,E?,2.03E-09,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,H2O,,,0,,N/A,NO,YES,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.5,-0.8,-2.5,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,A,0.09,N/A,N/A,,A,E?,1.30E-09,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glen (1955),Beta,H2O,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,0,0.03,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,"Estimation of initial grain size provided on page 113, Glen (1952).",N/A,N/A,N/A,A,E,0.16,A,No correction for surface area expansion. But its effect should be low at seconday minimum.,A,E,8.75E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Gamma,H2O,,,0,,N/A,YES,NO, Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,0,0.03,-0.03,,D,1500,1000,2000,N/A,,N/A,N/A,N/A,A,E,0.07,A,,A,E,5.61E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
